word,meaning
infuriate,make (someone) extremely angry and impatient.
informal,"having a relaxed, friendly, or unofficial style, manner, or nature."
intend,have (a course of action) as one's purpose or intention; plan.
idiot box,a television set.
incarnation,"a person who embodies in the flesh a deity, spirit, or quality."
industrious,diligent and hard-working.
innocent,not guilty of a crime or offence.
immaculate,"perfectly clean, neat, or tidy."
intimate,closely acquainted; familiar.
interesting,arousing curiosity or interest; holding or catching the attention.
ill,suffering from an illness or disease or feeling unwell.
impartial,treating all rivals or disputants equally.
invade,(of an armed force) enter (a country or region) so as to subjugate or occupy it.
intellectual,relating to the intellect.
inroads,an instance of something being encroached on or reduced by something else.
ignore,refuse to take notice of or acknowledge; disregard intentionally.
insufficient,not enough; inadequate.
identical,similar in every detail; exactly alike.
imitate,take or follow as a model.
inevitable,certain to happen; unavoidable.
intrude,put oneself deliberately into a place or situation where one is unwelcome or uninvited.
infamous,well known for some bad quality or deed.
jubilant,feeling or expressing great happiness and triumph.
jolly,happy and cheerful.
jaw,each of the upper and lower bony structures in vertebrates forming the framework of the mouth and containing the teeth.
jealous,"feeling or showing an envious resentment of someone or their achievements, possessions, or perceived advantages."
keep,have or retain possession of.
kind,a group of people or things having similar characteristics.
kid,a child or young person.
loving,feeling or showing love or great care.
lots,a large number or amount; a great deal.
learn,"gain or acquire knowledge of or skill in (something) by study, experience, or being taught."
loyal,giving or showing firm and constant support or allegiance to a person or institution.
loo,a toilet.
land,the part of the earth's surface that is not covered by water.
listen,give one's attention to a sound.
long,measuring a great distance from end to end.
little,"small in size, amount, or degree (often used to convey an appealing diminutiveness or express an affectionate or condescending attitude)."
loyal,giving or showing firm and constant support or allegiance to a person or institution.
liable,responsible by law; legally answerable.
least,"smallest in amount, extent, or significance."
loiter,stand or wait around without apparent purpose.
luxurious,"extremely comfortable or elegant, especially when involving great expense."
lethargic,affected by lethargy; sluggish and apathetic.
lucid,expressed clearly; easy to understand.
miser,a person who hoards wealth and spends as little money as possible.
malfunction,(of a piece of equipment or machinery) fail to function normally.
mentor,an experienced and trusted adviser.
meeting,"an assembly of people for a particular purpose, especially for formal discussion."
murals,a painting or other work of art executed directly on a wall.
militant,favouring confrontational or violent methods in support of a political or social cause.
maiden,an unmarried girl or young woman.
mug,"a large cup, typically cylindrical with a handle and used without a saucer."
moderate,"average in amount, intensity, quality, or degree."
mate,the sexual partner of a bird or other animal.
movie,a cinema film.
meager,(of something provided or available) lacking in quantity or quality.
mild,"not severe, serious, or harsh."
mum,one's mother.
maybe,perhaps; possibly.
mischievous,causing or showing a fondness for causing trouble in a playful way.
minor,"lesser in importance, seriousness, or significance."
magnify,"make (something) appear larger than it is, especially with a lens or microscope."
mysterious,"difficult or impossible to understand, explain, or identify."
mesmerize,capture the complete attention of (someone); transfix.
mansion,"a large, impressive house."
mad,mentally ill; insane.
modern,relating to the present or recent times as opposed to the remote past.
miniature,very small of its kind.
maintain,cause or enable (a condition or situation) to continue.
misery,a state or feeling of great physical or mental distress or discomfort.
mean,intend to convey or refer to (a particular thing); signify.
near,at or to a short distance away; nearby.
necessary,"needed to be done, achieved, or present; essential."
nuisance,a person or thing causing inconvenience or annoyance.
nurture,care for and protect (someone or something) while they are growing.
nausea,a feeling of sickness with an inclination to vomit.
numerous,great in number; many.
native,"a person born in a specified place or associated with a place by birth, whether subsequently resident there or not."
native,"a person born in a specified place or associated with a place by birth, whether subsequently resident there or not."
new,"produced, introduced, or discovered recently or now for the first time; not existing before."
nonchalant,"(of a person or manner) feeling or appearing casually calm and relaxed; not displaying anxiety, interest, or enthusiasm."
notify,"inform (someone) of something, typically in a formal or official manner."
negligible,so small or unimportant as to be not worth considering; insignificant.
niche,a comfortable or suitable position in life or employment.
nice,giving pleasure or satisfaction; pleasant or attractive.
outrageous,shockingly bad or excessive.
old,having lived for a long time; no longer young.
odd,different to what is usual or expected; strange.
ornament,"a thing used or serving to make something look more attractive but usually having no practical purpose, especially a small object such as a figurine."
optional,available to be chosen but not obligatory.
obey,submit to the authority of (someone) or comply with (a law).
obsolete,no longer produced or used; out of date.
outgoing,friendly and socially confident.
ordinary,with no special or distinctive features; normal.
obsession,the state of being obsessed with someone or something.
overwhelmed,"bury or drown beneath a huge mass of something, especially water."
ort,a scrap or remainder of food from a meal.
outraged,"arouse fierce anger, shock, or indignation in (someone)."
outskirts,the outer parts of a town or city.
observe,notice or perceive (something) and register it as being significant.
posture,the position in which someone holds their body when standing or sitting.
poor,lacking sufficient money to live at a standard considered comfortable or normal in a society.
plunge,jump or dive quickly and energetically.
pluck,take hold of (something) and quickly remove it from its place.
push,exert force on (someone or something) in order to move them away from oneself.
pinnacle,the most successful point; the culmination.
proud,"feeling deep pleasure or satisfaction as a result of one's own achievements, qualities, or possessions or those of someone with whom one is closely associated."
possess,have as belonging to one; own.
premises,"a house or building, together with its land and outbuildings, occupied by a business or considered in an official context."
particular,used to single out an individual member of a specified group or class.
portion,a part of a whole.
perfect,"having all the required or desirable elements, qualities, or characteristics; as good as it is possible to be."
patriotic,having or expressing devotion to and vigorous support for one's country.
part,"an amount or section which, when combined with others, makes up the whole of something."
prevail,prove more powerful or superior.
polite,having or showing behaviour that is respectful and considerate of other people.
prestigious,inspiring respect and admiration; having high status.
praise,express warm approval or admiration of.
perception,"the ability to see, hear, or become aware of something through the senses."
prompt,(of an event or fact) cause or bring about (an action or feeling).
podium,"a small platform on which a person may stand to be seen by an audience, as when making a speech or conducting an orchestra."
quite,to the utmost or most absolute extent or degree; absolutely; completely.
quit,"leave (a place), usually permanently."
quake,(especially of the earth) shake or tremble.
raze,"completely destroy (a building, town, or other settlement)."
racket,"a bat with a round or oval frame strung with catgut, nylon, etc., used especially in tennis, badminton, and squash."
rude,offensively impolite or bad-mannered.
renew,resume (an activity) after an interruption.
rich,having a great deal of money or assets; wealthy.
retrograde,directed or moving backwards.
receive,"be given, presented with, or paid (something)."
regret,"feel sad, repentant, or disappointed over (something that one has done or failed to do)."
rookies,"a new recruit, especially in the army or police."
ratify,"sign or give formal consent to (a treaty, contract, or agreement), making it officially valid."
resist,withstand the action or effect of.
resilient,(of a person or animal) able to withstand or recover quickly from difficult conditions.
raise,lift or move to a higher position or level.
reluctant,unwilling and hesitant; disinclined.
repulsive,arousing intense distaste or disgust.
ravage,cause severe and extensive damage to.
retaliate,make an attack in return for a similar attack.
real,actually existing as a thing or occurring in fact; not imagined or supposed.
reliant,dependent on someone or something.
rock,"the solid mineral material forming part of the surface of the earth and other similar planets, exposed on the surface or underlying the soil."
remark,say something as a comment; mention.
reluctant,unwilling and hesitant; disinclined.
rest,"cease work or movement in order to relax, sleep, or recover strength."
reveal,make (previously unknown or secret information) known to others.
respond,say something in reply.
sheer,nothing other than; unmitigated (used for emphasis).
strenuous,requiring or using great effort or exertion.
skeptical,not easily convinced; having doubts or reservations.
sustain,strengthen or support physically or mentally.
surge,"a sudden powerful forward or upward movement, especially by a crowd or by a natural force such as the tide."
stoic,a person who can endure pain or hardship without showing their feelings or complaining.
souvenir,"a thing that is kept as a reminder of a person, place, or event."
scared,fearful; frightened.
sorrow,"a feeling of deep distress caused by loss, disappointment, or other misfortune suffered by oneself or others."
simultaneously,at the same time.
smooth,"having an even and regular surface; free from perceptible projections, lumps, or indentations."
sightseeing,the activity of visiting places of interest in a particular location.
stable,(of an object or structure) not likely to give way or overturn; firmly fixed.
straits,a narrow passage of water connecting two seas or two other large areas of water.
sincere,free from pretence or deceit; proceeding from genuine feelings.
thrift,the quality of using money and other resources carefully and not wastefully.
strict,demanding that rules concerning behaviour are obeyed and observed.
serene,"calm, peaceful, and untroubled; tranquil."
slim,(of a person or their build) gracefully thin; slender.
stiff,not easily bent or changed in shape; rigid.
significant,sufficiently great or important to be worthy of attention; noteworthy.
shrine,"a place regarded as holy because of its associations with a divinity or a sacred person or relic, marked by a building or other construction."
sociable,willing to talk and engage in activities with other people; friendly.
small,of a size that is less than normal or usual.
steady,"firmly fixed, supported, or balanced; not shaking or moving."
surplus,an amount of something left over when requirements have been met; an excess of production or supply.
see,perceive with the eyes; discern visually.
same,identical; not different.
select,carefully choose as being the best or most suitable.
symbolize,be a symbol of.
subtle,(especially of a change or distinction) so delicate or precise as to be difficult to analyse or describe.
stop,"(of an event, action, or process) come to an end; cease to happen."
swift,happening quickly or promptly.
safe,protected from or not exposed to danger or risk; not likely to be harmed or lost.
shrewd,having or showing sharp powers of judgement; astute.
strangle,"squeeze or constrict the neck of (a person or animal), especially so as to cause death."
sluggish,slow-moving or inactive.
scribble,write or draw (something) carelessly or hurriedly.
sacked,dismiss from employment.
suggest,put forward for consideration.
shiver,"shake slightly and uncontrollably as a result of being cold, frightened, or excited."
strong,having the power to move heavy weights or perform other physically demanding tasks.
sleepy,needing or ready for sleep.
stupid,having or showing a great lack of intelligence or common sense.
try,make an attempt or effort to do something.
tangible,perceptible by touch.
tragic,causing or characterized by extreme distress or sorrow.
tavern,an inn or pub.
transform,"make a marked change in the form, nature, or appearance of."
tandem,"a bicycle with seats and pedals for two riders, one behind the other."
timid,showing a lack of courage or confidence; easily frightened.
tenets,"a principle or belief, especially one of the main principles of a religion or philosophy."
tap,a device by which a flow of liquid or gas from a pipe or container can be controlled.
tranquility,the quality or state of being tranquil; calm.
terrible,extremely bad or serious.
tall,"of great or more than average height, especially (with reference to an object) relative to width."
temporary,lasting for only a limited period of time; not permanent.
tender,"showing gentleness, kindness, and affection."
tiny,very small.
temper,a person's state of mind seen in terms of their being angry or calm.
thrifty,using money and other resources carefully and not wastefully.
trustworthy,able to be relied on as honest or truthful.
trivial,of little value or importance.
tender,"showing gentleness, kindness, and affection."
use,"take, hold, or deploy (something) as a means of accomplishing or achieving something; employ."
usually,under normal conditions; generally.
uncommon,out of the ordinary; unusual.
uncooked,not cooked; raw.
unfortunate,having or marked by bad fortune; unlucky.
vacant,(of a place) not occupied; empty.
verdict,a decision on an issue of fact in a civil or criminal case or an inquest.
versatile,able to adapt or be adapted to many different functions or activities.
vary,"differ in size, amount, degree, or nature from something else of the same general class."
valiant,possessing or showing courage or determination.
violent,"using or involving physical force intended to hurt, damage, or kill someone or something."
victory,"an act of defeating an enemy or opponent in a battle, game, or other competition."
vague,"of uncertain, indefinite, or unclear character or meaning."
voluntary,"done, given, or acting of one's own free will."
vibes,a person's emotional state or the atmosphere of a place as communicated to and felt by others.
vendor,"a person or company offering something for sale, especially a trader in the street."
viable,capable of working successfully; feasible.
worn,past participle of wear1.
want,have a desire to possess or do (something); wish for.
withstand,remain undamaged or unaffected by; resist.
wrong,not correct or true; incorrect.
waiver,an act or instance of waiving a right or claim.
wisecrack,a witty remark or joke.
weak,lacking the power to perform physically demanding tasks; having little physical strength or energy.
weary,"feeling or showing extreme tiredness, especially as a result of excessive exertion."
wardrobe,"a large, tall cupboard or recess in which clothes may be hung or stored."
yield,"produce or provide (a natural, agricultural, or industrial product)."
yell,"a loud, sharp cry of pain, surprise, or delight."
